District Number,Full Name,Contact Page URL,Photo URL,Member Page URL,Biography,Capitol Office Address,Capitol Office Phone Number,District Office Address 1,District Office Phone Number 1,District Office Address 2,District Office Phone Number 2,District Office Address 3,District Office Phone Number 3,District Office Address 4,District Office Phone Number 4,District Office Address 5,District Office Phone Number 5,District Office Address 6,District Office Phone Number 6
1,Bryan Hughes,https://senate.texas.gov/memberform.php?auth=d7k2BkuERt1n3OhZMfLoGQIHSyBRtaMXbrSt5QymOIM6XzpfOoK%2FL%2BmPFUL9gjGVoLRHuVPbrvPJjmFnEOsP5t%2FYk5wSfQ06fDp8OgVjkhuvmulX9fWPbDpCGxQ%3D&lang=en,https://senate.texas.gov/members/d01/img/Hughes_86-0702D-030-web.jpg,https://senate.texas.gov/member.php?d=1,"Senator Bryan Hughes is serving his third term in the Texas Senate, representing nearly one million people across 19 counties throughout East Texas. Dubbed as “one of the most effective legislators in the country” by Governing Magazine, Senator Hughes is known for passing the Heartbeat Bill, Critical Race Theory Ban, Election Integrity Bill, Social Media Censorship Ban, and the strongest data privacy law in the Nation, along with several other groundbreaking laws. Consistently ranked as the #1 most conservative member of the Senate, Hughes is the only member of the legislature to have two pieces of legislation appealed to the U.S. Supreme Court. For his service in the Legislature, Senator Hughes has received the Taxpayer Champion Award, the Visionary Leader Award from Combined Law Enforcement Associations of Texas, and the Horizon Award from Texas Right to Life. He has also been named Defender of the American Dream by Americans for Prosperity and Guardian of Small Business by the National Federation of Independent Business. A graduate of Tyler Junior College and the University of Texas at Tyler, Senator Hughes earned his B.B.A. in economics, cum laude , and became the first member of his family to earn a bachelor’s Degree. He continued his studies at the Baylor University School of Law and served as law clerk to U.S. District Judge William Steger of Tyler before entering private practice which he maintains, helping families and businesses solve problems and deal with complex challenges. He has been honored as Baylor Young Lawyer of the Year and Outstanding Alumnus of both Tyler Junior College and the University of Texas at Tyler. Senator Hughes serves as Chairman of the Senate Committee on State Affairs and the Senate Committee on Jurisprudence, as well as Joint-Chair of the Joint Committee on Effects of Media on Minors. He is also a member of the Health & Human Services, Natural Resources, and Nominations committees. Hughes was recently appointed to the Energy Council’s Executive Committee by Lieutenant Governor Dan Patrick. In his free time, Senator Hughes enjoys serving in his church, bird hunting, hiking, and spending time with family. He and his wife, Leyla, live in Tyler.","The Honorable Bryan Hughes P.O. Box 12068 Capitol Station Austin, TX 78711",(512) 463-0101,"110 N. College Ave., Suite 208 Tyler, Texas 75702",(903) 581-1776,,,,,,,,,,
2,Bob Hall,https://senate.texas.gov/memberform.php?auth=EDVyDay7WigJPoA%2BZY2%2BOKgowObW%2FhSb%2FgSR9O1%2BlQ06XzpfOnBeCa%2BCNtd3ZETYpOINFMwvL15IJFWpjpjGZkDu%2B23YqMY6fDp8OqvIyttVMvfGNc5LdTuiPrc%3D&lang=en,https://senate.texas.gov/members/d02/img/headshot.jpg,https://senate.texas.gov/member.php?d=2,"Currently in the 89th Legislature, Texas Senator Bob Hall, is the Chairman of the vital Senate Committee on Administration and an influential voting member on the Senate Committee of Finance, Health and Human Services, State Affairs, and Veteran Affairs. He has earned the reputation of being open minded and willing to discuss ideas but absolutely unwavering in holding to his core conservative principles and Judeo-Christian values. He is a man who believes in the Declaration of Independence and follows the Constitution. He is pro-life, pro-gun, pro-liberty, pro-property rights, pro Judeo-Christian conservative values, a staunch proponent of the free market, fiscally responsible, and pro-limited government. Senator Hall was instrumental in making Texas a 2nd Amendment Sanctuary State, as well as, protecting religious organizations and churches from Government shutdown. After the Air Force he worked in the Aerospace industry as a systems engineer and business development manager. In 1982 he left the corporate world and began working as an independent proposal consultant to aerospace and defense corporations. Then in 1984 he formed his own company, Professional Proposal Management, Inc. A compelling sense of duty, shaped by his military service, business experience, and love for this country, drives him to leave behind the legacy of a patriotic servant for his children and grandchildren. Envisioning their futures compelled him to become actively involved in the state's political process and strongly believes it is time to stand in the gap for our children, our liberties and our future.","The Honorable Bob Hall, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0102,"Alliance Building #2, 6537 Horizon Road, Suite B-1, Rockwall, Texas 75032",(972) 722-3131,"17585 State Highway 19, Suite 200, Canton, Texas 75103",(903) 567-0531,,,,,,,,
3,Robert Nichols,https://senate.texas.gov/memberform.php?auth=zBbUEzihHmtOtipbKMldpBd0F1%2BVunxLbpoidCAbP%2BE6XzpfOr1QF3HmrDkHECKhOHrMRTdDwnM6mRoGud3NysaaL6FxsZw6fDp8OqETJhyQHOnRFZoPxVIGWF0%3D&lang=en,https://senate.texas.gov/members/d03/img/headshot.jpg,https://senate.texas.gov/member.php?d=3,"First elected to the Texas Senate in 2007, Robert Nichols represents 18 counties including the greater part of East and Southeast Texas. In the Texas Senate,  Nichols currently serves as Chairman of the Senate Transportation Committee. Senator Nichols also serves on the Business and Commerce, Finance, Local Government, and Select Redistricting Committees. He is a member of the Legislative Audit Committee, and a former Vice-Chair of the Sunset Advisory Commission. During his nine sessions as a state senator, Nichols authored and passed legislation to protect landowners' rights, increase educational opportunities in East Texas and reform transportation policies. He has also worked to reduce Medicaid fraud and promote free-market principles. He was designated as a Top Legislator by Texas Insider, a Champion of Free Enterprise by the Texas Association of Business, a Courageous Conservative by the Texas Conservative Coalition, a Champion for Public Education by Raise Your Hand Texas, and a Top 10 Best Legislator for the 85th and 88th Legislative Sessions by Texas Monthly Magazine. Before running for Senate, Nichols served as transportation commissioner for eight years where he established a reputation for increasing efficiency without compromising quality. Nichols is a businessman from Jacksonville, Texas. In his hometown, he served on city council, was elected mayor, built four successful manufacturing facilities, earned 32 U.S. patents and 128 foreign patents, as well as creating more than 900 jobs for East Texas families. Working his way through college by selling fireworks and ironing clothes for other students, Nichols earned a bachelor's degree from Lamar University in 1968. He married his high school sweetheart, Donna, and they are the proud parents of three children: Brittney, Joshua, and Collynn'rae. He is a member of the First Methodist Church in Jacksonville.","The Honorable Robert Nichols, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0103,"329 Neches Street, Jacksonville, TX 75766",(903) 589-3003,"202 E. Pilar St., Ste. 309, Nacogdoches, TX 75961",(936) 564-4252,"2915 Atkinson Drive, Lufkin, TX 75901",(936) 699-4988,"769 S. Main St., Suite 103, Lumberton, TX 77657",(409) 755-9893,,,,
4,Brandon Creighton,https://senate.texas.gov/memberform.php?auth=1HSUY7Fd%2B7sAT1HZlo3KNpJGnT2v9Uf%2BmwPZ66R0t0s6XzpfOmbVWqfJHlRJbku8juXdy8O8QzCj8D1l26KS%2BFw0wZAqq9A6fDp8Oi7LN84TK8Jm7c5sy21le9Y%3D&lang=en,https://senate.texas.gov/members/d04/img/Brandon_Creighton_2024-web.jpg,https://senate.texas.gov/member.php?d=4,"On August 26, 2014, Senator Brandon Creighton was sworn in to the Texas State Senate to represent the citizens of District 4, which encompasses parts of Montgomery, Harris, Chambers, Jefferson and Galveston Counties. During his tenure as Senator, he has taken the lead on key issues that matter to Texas job creators including franchise and property tax relief, water and transportation infrastructure, and border security. Before election to the Texas Senate, Creighton served as State Representative for District 16 where his peers elected him to Chairman of the Texas House Republican Caucus. He also served as Chairman of House Federalism Committees tasked with overseeing the state’s relationship with the federal government and ensuring that Texas’ constitutional rights are protected. Throughout his legislative career, his priorities have distinguished him as a genuine defender of conservative values. He has relentlessly hammered excessive taxation, pursued “loser pays” tort reform, passed drug testing for unemployment benefits, stood up for Texas’ 10th Amendment rights and effectively blocked Obamacare's Medicaid expansion. Brandon is an eighth-generation Montgomery County resident, where he resides with his family. He is a graduate of the University of Texas and holds his Doctor of Jurisprudence from Oklahoma City University School of Law. In his spare time, he enjoys Texas history, sports, hunting and fishing.","The Honorable Brandon Creighton, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0104,"2829 Technology Forest, Suite 240, The Woodlands, Texas 77381",(281) 292-4128,,,,,,,,,,
5,Charles Schwertner,https://senate.texas.gov/memberform.php?auth=kTyISWvuD4f%2FZbaAYxkPej83%2Fcl9JLxiqoegZrdB2AU6XzpfOnEU5H2l5QYkDeSWOtewfGOV5p91eKQdqk5%2Bd80wxNjhOnw6fDrxgxeD01m6kDGM0odmkbvm&lang=en,https://senate.texas.gov/members/d05/img/headshot.jpg,https://senate.texas.gov/member.php?d=5,"Senator Charles Schwertner, MD is a sixth-generation Texan and lifelong conservative Republican. Since 2013, Dr. Schwertner has represented Senate District 5, an eleven-county region of central and east Texas that includes Bastrop, Brazos, Freestone, Leon, Limestone, Madison, Milam, Robertson, San Jacinto, Walker, and Williamson counties. As Chairman of the powerful Senate Committee on Business and Commerce and the Sunset Advisory Commission, Schwertner oversees a number of critical policy areas for the state of Texas, including electric utilities, insurance, banking, technology, and telecommunications. Schwertner also serves as a member of the Senate Committees on Finance, State Affairs, and on the Legislative Budget Board. Throughout his time in the Texas Legislature, Schwertner has led the way on a number of important policy initiatives including authoring one of the strongest Constitutional Carry laws in the nation, reforming the state’s electrical grid, expanding access to mental health services, improving the state foster care system, strengthening landowner rights, cutting taxes for small businesses, protecting seniors from abuse, and fighting to lower tuition at public universities. Schwertner and his wife Belinda (an obstetrician/gynecologist and Juris Doctor) reside in Georgetown. They have three adult sons: Carson, Zachary, and Matthew.","The Honorable Charles Schwertner, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0105,"3000 Briarcrest Drive, Suite 202, Bryan, TX 77802",(979) 776-0222,"Block 27, 501 S Austin Ave., Georgetown, TX 78626",(512) 863-8456,,,,,,,,
6,Carol Alvarado,https://senate.texas.gov/memberform.php?auth=mIzsuCEG97TLXogHMmiWT50xVy0uFibSPaU4%2B3UExys6XzpfOtGojHwgHZygcexe1WizoALasYagYXeMbuCRqXNaWG7PwvU6fDp8OtWFrOnDCPbv7Rprdbo%2BdWo%3D&lang=en,https://senate.texas.gov/members/d06/img/CA-2018_web.jpg,https://senate.texas.gov/member.php?d=6,"Senator Carol Alvarado is proud to serve Texas Senate District 6 in Harris County and was first elected in a 2018 Special Election. In 2008, she was elected to the Texas House of Representatives and served five terms representing District 145. She served as the Chair of the Urban Affairs Committee and Co-Chair of the Select Committee on Transparency in State Agency Operations. Now in her third term in the Texas Senate, Carol serves on the Senate Committees on Administration, Natural Resources and Economic Development, Nominations, Transportation and the Special Committee on Redistricting. Carol also serves as the Chair of the Texas Senate Democratic Caucus. Carol's primary legislative focus has been on economic development, public health and public education. She has championed legislation aimed at strengthening our state's workforce, helping small businesses succeed, creating tools to recruit businesses to relocate to Texas, regulating the use of e-cigarettes for children and criminal justice reform. Carol is an advocate for women's health and reproductive rights and has passed legislation to assist victims of sexual abuse. She is also a strong advocate for voting rights and ensuring access to the ballot. As a member of the Houston City Council from 2002-2008, Carol led the effort to make restaurants smoke free, stopped the shipping of more hazardous chemicals through our neighborhoods, and had air quality monitors installed in neighborhoods near chemical plants. Carol is a native Houstonian and longtime resident of Houston's East End. She holds a Master of Business Administration and a Bachelor of Arts degree in Political Science from the University of Houston and is a member of St. Alphonsus Catholic Church.","The Honorable Carol Alvarado P.O. Box 12068 Capitol Station Austin, TX 78711",(512) 463-0106,"4450 Harrisburg, Suite 436 Houston, TX 77011",(713) 926-6257,,,,,,,,,,
7,Paul Bettencourt,https://senate.texas.gov/memberform.php?auth=rT%2FUp9eVGMrUakpyk9nlXD8GU9TRjqaZR3ll6ewtrRc6XzpfOrEuIqq00hO8v48OyvZMk1sLVwvwGdCOkY2jzcuXixKLjr46fDp8Op%2BvFwENCJX78f2DPTzcdYo%3D&lang=en,https://senate.texas.gov/members/d07/img/headshot.jpg,https://senate.texas.gov/member.php?d=7,"First elected to the Senate in 2014, Senator Paul Bettencourt represents Senate District 7, which encompasses most of West Harris County. He previously served 10 years, from 1998 - 2008, as the Harris County Tax Assessor-Collector, where he introduced “Smart Government” at the Harris County Tax Office and developed a customer service-driven organization. His team created the first major county online property tax payment system and the first county tax office website with online vehicle registration in Texas. (His motto was “Get on-line, not in-line.”) He was well-known as the “Tax Man” for his outspoken efforts to cut property taxes. In the most recent Legislative Session, Senator Bettencourt successfully passed Senate Bill 2, the Texas Property Tax Reform and Transparency Act of 2019, by a vote of 21-9 to bring meaningful property tax reform and relief to all Texas taxpayers. This was the first major property tax reform legislation in almost 40 years, and the culmination of two decades of advocacy. He also continued his work on adult stem cell therapies in Texas by sponsoring HB 3148, building upon previous legislative sessions to get government out of the way, allowing new therapies to flourish and give terminally and chronically ill patients hope for a better quality of life. His work during the 86th Session earned him the distinction of ""Senate MVP"" by Capitol Inside, ""Bull of the Brazos"" by Texas Monthly, the Legislative Legacy Award by Texas Public Policy Foundation and he was given the ""Citizen's Choice Award"" by Empower Texans. A champion for conservative solutions to Texas' challenges, Senator Bettencourt has built a strong reputation at the Capitol advocating for taxpayers. In his previous legislative sessions he worked tirelessly to pass conservative budgets, enact a supermajority requirement within a taxing jurisdiction to raise taxes, (which prevented a $100,000,000 tax increase in its first year) as well as author SB 7 which sought to stamp out the growing plague of inappropriate student-educator relationships. A compassionate conservative, Senator Bettencourt has been a leader on ""Right to Try"" and adult stem cell legislation, fighting for terminally and chronically ill patients across Texas to have better access to treatments and new therapies. Legislation that he sponsored on this important issue was adopted by the American Legislative Exchange Council as a national model other states could follow. He has also greatly expanded dual credit opportunities (SB 1004) for Texas students and Joint-Authored bipartisan legislation to enhance educational opportunities for students through ISD/Charter partnerships (SB 1882). Numerous organizations have acknowledged Senator Bettencourt for his work in the Texas Senate. In his first session, Capitol Inside named him ""Most Valuable Freshman"" and Vision America named him their ""Outstanding Texas Legislator."" He has also been named “Taxpayer Advocate of the Year” by the Americans for Prosperity, Previously as an elected official he was named a “Hero of Faith” by the Houston Area Pastors’ Council, and earned the “Pioneer Award” from the Harris County Republican Party. Senator Bettencourt is the Chair of the Senate Committee on Local Government and serves on the Senate Finance, Education, and Criminal Justice committees. He has also been named to the Redistricting Committee by Lt. Governor Patrick. He also served as the Chair of the Senate Republican Caucus from January 2016 to February 2021. A Bachelor of Science graduate of Texas A&M University in Industrial Distribution, Senator Bettencourt is the President and CEO of a tax consulting company in Houston that has grown to forty employees. He is also a radio and television personality. The Senator and his wife Susan are active members of Saint John Vianney Catholic Church, where Paul is a fourth degree Knight of Columbus. Senate District 7 is located in Harris County and includes Bunker Hill Village, Hedwig Village, parts of Houston, Hunters Creek Village, Jersey Village, Piney Point Village, Spring, and Tomball.","The Honorable Paul Bettencourt, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0107,"11451 Katy Freeway, Suite 209, Houston, TX 77079",(713) 464-0282,,,,,,,,,,
8,Angela Paxton,https://senate.texas.gov/memberform.php?auth=ZU%2BO8u7oyi1suY85wUER2YN%2FOsera6z8fw6Tk8kxKTc6XzpfOu7aRfBES4WHm2pk1ui4Go4%2BvWffYlNZpm7zZxgnNzrN%2FL46fDp8OnGqrzQPp0lMST5LzckVHqw%3D&lang=en,https://senate.texas.gov/members/d08/img/Paxton_2019.jpg,https://senate.texas.gov/member.php?d=8,"Angela Paxton was elected to the Texas Senate in November of 2018 and represents fast-growing Senate District 8, a district that is home to professional sports headquarters, dozens of Fortune 1000 companies, countless entrepreneurs and small businesses, and top-rated public schools. A secondary math teacher and school counselor for more than 20 years, she is the first educator elected to the Texas Senate in over two decades. Senator Paxton describes her job in three words: Listen. Learn. Lead. Senator Paxton is an adopted child and the first person in her family to graduate from college. She earned an undergraduate degree in Mathematical Science from Baylor University and a Master of Science in Education from the University of Houston-Clear Lake. Senator Paxton leverages her expertise as an educator, interest in technology, experience as a small business owner, and deep roots in Senate District 8 to advocate for her constituents and lead on policy that elevates educational and economic opportunity and human dignity. Senator Paxton currently serves as the Vice Chair of the State Affairs Committee and as a member of the Senate committees for Finance, Education, Local Government, and Nominations. She is also the Chair of the Senate Republican Caucus, where she works with the other Republican Senators to advance our conservative priorities. Senator Paxton and her husband, Texas Attorney General Ken Paxton, met as students at Baylor University and have been married since 1986. They have four grown children and five grandchildren. Senator Paxton is a member of Watermark Community Church.","The Honorable Angela Paxton, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0108,"604 S. Watters Road, Suite 100, Allen, TX 75013",(972) 908-3424,"2816 Lee Street, Suite A, Greenville, TX 75401",(903) 454-2880,,,,,,,,
9,Constituent Services,https://senate.texas.gov/memberform.php?auth=IzSxr7ihE1S2qkqmTOKXbXk82omJElESvKsOP57ehQc6XzpfOnXlyXEYXAhAWKd5ipdf44Wa9bT6kEf8TxWv9vzGjPFvQjnoOnw6fDoqRHhZhCCyWEVYVXJrZ7Bd&lang=en,https://www.lrl.texas.gov/scanned/members/photos/large/H/Hancock_Kelly_88.jpg,https://senate.texas.gov/member.php?d=9,,"P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0109,"306 W Seventh Street, Suite 508, Fort Worth, TX 76102",(817) 332-1131,,,,,,,,,,
10,Phil King,https://senate.texas.gov/memberform.php?auth=IzSxr7ihE1S2qkqmTOKXbXk82omJElESvKsOP57ehQc6XzpfOnXlyXEYXAhAWKd5ipdf44Wa9bT6kEf8TxWv9vzGjPFvQjnoOnw6fDoqRHhZhCCyWEVYVXJrZ7Bd&lang=en,https://senate.texas.gov/members/d10/img/King_88-0550D-004-WEB.jpg,https://senate.texas.gov/member.php?d=10,"Senator King proudly serves the citizens of Senate District 10, a sprawling district with a mixture of urban, suburban and rural communities spanning eight counties. He previously served as State Representative and Parker County Justice of the Peace. Phil King is the Chairman of the Texas Conservative Coalition Research Institute and a member of the National Board of Directors for the American Legislative Exchange Council, where he was the 2015 National Chair. Phil was a police officer in Fort Worth for 15 years, a reserve officer for 26 years and continues to serve in the Texas State Guard. A practicing attorney, King resides in Weatherford where he and his family have been longtime members of Trinity Bible Church. Phil and his wife Terry are the proud parents of six children and 18 grandchildren. Phil earned his B.A. and M.B.A. from Dallas Baptist University and a law degree from Texas A&M University School of Law (formerly known as Texas Wesleyan University School of Law).","P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0110,"Heritage Rock II, 2340 W. Interstate 20, Suite 218, Arlington, TX 76017",(817) 465-2506,"Nan & Bob Kingsley Bldg., 1710 Martin Dr., Weatherford, TX 76086",(817) 596-4796,,,,,,,,
11,Mayes Middleton,https://senate.texas.gov/memberform.php?auth=i18gajXG%2Fs%2F%2FstsS0jSYZmiuJPgS68LOI7%2BPWSxkbD06XzpfOs3bpxj8g%2BFiD%2F%2BIUB4CPEkXDucTTRIz%2FOaEPi2h6fQH%2FH10Onw6fDo2ZRgy%2BgRTsjHqKum9WVak&lang=en,https://senate.texas.gov/members/d11/img/Middleton_87-0662D-009.jpg,https://senate.texas.gov/member.php?d=11,"Mayes Middleton is President of Middleton Oil Company, an independent oil and gas company. He also runs ranching, cattle, and farming operations. Mayes and his wife, Macy, have four children: Connor, Christian, Matthew, and Martha Ann. Mayes and Macy support numerous local community organizations and faith-based charities throughout the Galveston-Houston region. Prior to serving in the Texas Senate, Mayes served two terms in the Texas House of Representatives, representing Chambers and Galveston Counties. During his last term in the Texas House, Mayes served as Chairman of the Texas House Freedom Caucus. Now in the Texas Senate, Mayes represents Senate District 11, encompassing portions of Brazoria, Galveston, and Harris Counties. Throughout his time in both the House and Senate, Mayes has consistently ranked among the top most conservative members of the Legislature. Senator Middleton currently serves as the Vice Chairman of the Subcommittee on Higher Education and as a member on the Senate Committees on Administration, Business & Commerce, Education, Jurisprudence, and State Affairs.","The Honorable Mayes Middleton P.O. Box 12068 Capitol Station Austin, TX 78711",(512) 463-0111,"174 Calder Road Suite 900 League City, TX 77573",(281) 332-1000,,,,,,,,,,
12,Tan Parker,https://senate.texas.gov/memberform.php?auth=a%2FwkMxsMfyo4fGHnDpkpJ5MTkJM4lWKOU8ezISV5wVA6XzpfOuub3Veuz5ZR1spuFx7sA6fcWBKRXPiJp7VbzMFJG41edJoVOnw6fDryYerEw%2FDS0aSNt2XIfQyv&lang=en,https://senate.texas.gov/members/d12/img/86_20190619_SAM_0008.jpg,https://senate.texas.gov/member.php?d=12,"Tan Parker is a businessman, who grew up in North Texas working in his family’s restaurants while volunteering in his community. He married his college sweetheart, Beth, and they moved to Flower Mound, raising their daughters, Lauren and Ashley. While family comes first, Tan considers working for the betterment of Texas the highest honor of his professional life. Previously serving in the Texas House, Tan held leading committee roles on policy matters vital to our state. His leadership was instrumental in the unanimous election by his colleagues as chair of the House Republican Caucus during the 84th and 85th legislative sessions. Tan’s legislative success touches a broad range of issues facing Texans and serves as a reflection of open dialogue with his constituency. His legislative accomplishments represent his extensive work fostering Texas’ economic vitality and protecting our most vulnerable. Tan graduated from the University of Dallas and earned a Master’s degree from the London School of Economics before building a distinguished private sector career in technology and private equity. He also created the book, Making Government Work . The bedrock of his service is exemplified through passionate advocacy for community and fighting for common-sense, conservative policies that strengthen Texas’ prosperity.","The Honorable Tan Parker, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0112,"600 Parker Square, Suite 250, Flower Mound, TX 75028",(972) 724-8477,"Douglas Plaza, 8226 Douglas Ave. #625, Dallas, TX 75225",(214) 361-3561,"Weatherford College, 502 Big Sandy Court, Bridgeport, TX 76426",,,,,,,
