District Number,Full Name,Contact Page URL,Photo URL,Member Page URL,Biography,Capitol Office Address,Capitol Office Phone Number,District Office Address 1,District Office Phone Number 1,District Office Address 2,District Office Phone Number 2,District Office Address 3,District Office Phone Number 3,District Office Address 4,District Office Phone Number 4,District Office Address 5,District Office Phone Number 5,District Office Address 6,District Office Phone Number 6
13,Borris Miles,https://senate.texas.gov/memberform.php?auth=RBilE1zzkHkhaMhoxpcYXdpAUCaepvFP%2FBjldXq6Azs6XzpfOmYYZSbhqXqrqju8tUWuxNKUNkynU1eqPuvSoopyXsAnnaSwOnw6fDr1JzVZRsMtAeCsDnZ2k2TN&lang=en,https://senate.texas.gov/members/d13/img/Sen-Miles-2025-Headshot-web.jpg,https://senate.texas.gov/member.php?d=13,"A lifelong resident of Houston, Senator Borris L. Miles was elected to the Texas Senate in 2016 after serving four terms in the Texas House. Miles is a successful businessman and developer, owning one of the largest insurance agencies in Texas. A fighter for the people, Senator Miles’ legislative milestones include securing over $8 billion in federal funding to provide primary healthcare services to low-income Texans, passing legislation to give second chances to individuals by making it easier to seal their juvenile records, securing $44 million to create the Miles Ahead Scholars program to help underserved minority male youth the opportunity to go to college, creating economic development opportunity districts and strengthening the laws on group homes, protecting the most vulnerable like our seniors and people with disabilities who depend on these facilities. For his work, Miles has received recognitions, including being named “Legislator of the Year” by the National Black Caucus of State Legislators, ""Star of the Legislative Session"" by the Texas Classroom Teachers Association, ""Champion of Women's Health"" by Planned Parenthood, ""Most Valuable Legislator"" by the Texas Association of Community Schools, and ""Policy Leader Award"" by the Texas Association of City & County Health Officials. He has also received A+ ratings with Equality Texas and the Sierra Club. Senator Miles' active involvement in his community is a testament to his commitment and servant leadership. Miles conceived the Hip Hop 4 HIV concert series, which was adopted by the CDC, and has given his time to organizations like the Urban League and the Houston Sickle Cell Association. Through his non-profit, the TexStars Foundation, he has awarded more than 200 scholarships to pay for the college education of African-American men and has been hosting an annual Turkey Giveaway for over 15 years, providing much-needed support to communities in need.","The Honorable Borris L. Miles, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0113,"5302 Almeda, Suite A, Houston, TX 77004",(713) 665-8322,"2440 Texas Parkway, Suite 110, Missouri City, TX 77489",(281) 261-2360,"3300 Lyons Avenue, Suite 301, Houston, TX 77020",(713) 223-0387,,,,,,
14,Sarah Eckhardt,https://senate.texas.gov/memberform.php?auth=%2BTt97pd6G4NZQhtMisFoL11Zcy%2BePrtxljpWYV0AOqo6XzpfOnKnkVA86%2BMMX4epSJMRJH3JaVHkAjgwtrGJdgJiMcHMiD%2FQOnw6fDqpIg8ISF%2BRK6652EusOFA%2B&lang=en,https://senate.texas.gov/members/d14/img/SE_headshot_2020.jpg,https://senate.texas.gov/member.php?d=14,"Sarah Eckhardt is honored to have been elected the Senator for Travis County in July of 2020. Senator Eckhardt has deep roots in Central Texas and deep commitment to improving opportunity for all Texans. After receiving an LBJ School Master of Public Affairs and law degree from the University of Texas at Austin in 1998, Eckhardt worked for eight years as an Assistant Travis County Attorney. From 2006-2013 she served as Travis County Commissioner representing 300,000 people. From 2015-2020 she served as the Travis County Judge presiding over the Commissioners Court and representing 1.3 million people. Senator Eckhardt believes that elective office is a temporary trust bestowed by the people who elect her. She values policy above politics. And she believes that government exists to assure that opportunity is within reach of every Texan. Government should be effective, efficient, fair and minimally intrusive. Eckhardt's public service experience includes emergency response, health care, workforce and economic development, criminal justice, water policy, transportation, and budget and finance. Some of her previous accomplishments include curtailing the spread of COVID-19 in Central Texas through early and decisive region-wide orders, preserving more than 30,000 acres of green space, building a multi-county collaboration for the preservation of groundwater, maintaining a vibrant construction economy while raising safety standards for workers, establishing a Travis County Public Defender's Office, and instituting jail and arrest diversion programs that support justice and public safety. Senator Eckhardt learned public service from her mother and father and is inspired to continue serving by her son and daughter. Her mother Nadine Eckhardt and her father Congressman Bob Eckhardt served Texas and especially the most vulnerable Texans in the halls of the State Capitol and the US Capitol. Her children Nadine and Hank inspire her daily to make Texas a better place for generations to come.","The Honorable Sarah Eckhardt, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0114,,,,,,,,,,,,
15,Molly Cook,https://senate.texas.gov/memberform.php?auth=3M896DqwDzg7G70d4VZD%2FECivpqSOuOHx5JMg8peoPM6XzpfOkqcjHoQZZ7OS9h50SAVOouo7lLZgt2BlPzYNZH%2B2jdYFwSfOnw6fDqhO1Sy5sczvq%2BuiCt6H208&lang=en,https://senate.texas.gov/members/d15/img/Cook_88-0807D-014-2025.jpg,https://senate.texas.gov/member.php?d=15,"Molly Cook is a sixth-generation Texan, born and raised in the Houston area. She is a registered nurse and grassroots organizer. She earned her nursing degree from the University of Texas at Austin and her dual nursing and public health graduate degree from Johns Hopkins University. As an emergency room nurse and grassroots organizer, Molly advocated for the health and safety of her neighbors, and she is honored to continue that work from the Texas Senate. Molly’s community advocacy helped pass a citizen-driven amendment to the City of Houston charter, and she has been recognized by the Houston Chronicle as one of Houston’s transportation leaders. Molly is a harpist, multi-modal transportation enthusiast, and certified yoga instructor. She is the proud custodian of her senior rescue chihuahua, Oso. Click here for a high resolution version of Sen. Cook’s headshot.","The Honorable Molly Cook, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0115,"4808 Gibson Street, Suite 210, Houston, TX 77007",(713) 864-8701,,,,,,,,,,
16,Nathan Johnson,https://senate.texas.gov/memberform.php?auth=YaPkefmSWqTelIVwst8V11GtG5MYyfdzAclbc4jEEYs6XzpfOmKsynE%2BsuY1ml%2F7%2Bn8QkqWWhfgdMVVXDBr320wzOa86%2FDE6fDp8Ooog%2F4r0mL047L80KFkJnOY%3D&lang=en,https://senate.texas.gov/members/d16/img/SNJ-Headshot-2023-web.jpg,https://senate.texas.gov/member.php?d=16,"Senator Nathan Johnson represents almost a million people in Senate District 16, a rapidly growing and diversifying area in Dallas County. First elected in 2018 with bipartisan support, he has become a leading voice in healthcare, the electrical grid, government transparency, criminal justice, and state infrastructure. Johnson knows that policymakers must meet the changing demands of Texas’s rapid growth and profound economic, social, and technological advances. This means developing new infrastructure – both physical (e.g., the electrical grid) and social (e.g., health), and making government more responsive and effective. And so Johnson has played a central role in strengthening the Texas grid; his work in healthcare resulted in hundreds of thousands of newly insured Texans; his work on economic policy promoted opportunity in overlooked regions and made it more difficult to abuse tax incentives; and he has made state agencies more accountable while helping them better meet the needs of the public. Johnson holds a B.S. in physics and a J.D. in law. He practices law at Thompson Coburn LLP, where he specializes in trial litigation and dispute resolution. He composed dozens of musical scores for the iconic anime series Dragon Ball Z , as well as classical music for the concert stage.","The Honorable Nathan Johnson, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0116,"Merit Tower, 12222 Merit Drive, Suite 1010, Dallas, Texas 75251",(972) 701-0349,,,,,,,,,,
17,Joan Huffman,https://senate.texas.gov/memberform.php?auth=V2Ay2B1XFmAtvPajeSyGC7ch054%2B9Q%2BD0baoMRsCHks6XzpfOojEZxgDjV8Dj7%2F%2FubTfD%2FXU9JqWiyntOhMYnah0L2GKWxUyOnw6fDqjpJ7zkDQSZVrhfU9K1F94&lang=en,https://senate.texas.gov/members/d17/img/Huffman_9S5A0096-2021web.jpg,https://senate.texas.gov/member.php?d=17,"Senator Joan Huffman started her career as a public servant in 1981. Upon earning her undergraduate degree from Louisiana State University, she became a secretary for the Harris County District Attorney’s office. It was there that she became inspired by the work of prosecutors and decided to enroll in night classes at the South Texas College of Law while continuing to work full time. Upon earning her law degree, Joan was hired as a prosecutor and advanced from misdemeanor court to Chief Felony Prosecutor, Special Crimes Gang Prosecutor, and Legal Counsel to the Organized Crime Narcotics Task Force. She served as lead prosecutor in over 100 jury trials, including murders, aggravated robberies, and sexual assaults of adults, and children. Senator Huffman earned a reputation as a fair and tough enforcer of the law both as a prosecutor and a twice elected Judge to the 183rd Criminal District Court in Harris County. Senator Huffman was first elected to the Texas Senate in 2008 and has been re-elected five times. She currently serves as Chair of the Senate Committee on Finance, and as a senior member of the Senate Committee on Criminal Justice and the Legislative Budget Board. Senator Huffman’s common sense approach to solving issues has allowed for her to build strong relationships with members of both parties, which enables her to represent the needs of her district and her constituents efficiently and effectively. Her leadership has been acknowledged by numerous advocacy groups.  She was named as the ""2017 Hero for Texas Children"" by the National Center for Missing and Exploited Children, and a “Big Voice for Little Texans” by Court Appointed Special Advocates for her work to protect children.  She is also the only three-time recipient of the Texas District and County Attorneys Association’s “Law and Order Award” since its inception, for her efforts to improve victims’ protections and the criminal justice system. Senator Joan Huffman represents a diverse district which is comprised of Colorado, Jackson, Matagorda, and Wharton County and portions of Brazoria, Ft. Bend, Harris, and Waller County.","The Honorable Joan Huffman, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0117,"16010 Barkers Point Ln, Suite 265, Houston, TX 77079",(281) 497-2450,"129 Circle Way, Suite 101, Lake Jackson, TX 77566",(979) 480-0994,,,,,,,,
18,Lois Kolkhorst,https://senate.texas.gov/memberform.php?auth=0FvkT3w4l1kDQj4ZgDhdYFHpiXiDnf4cprbA2Uesi%2Fc6XzpfOnvGjxZLjAEw3Fp8HQ9vsKB3s%2BafH%2FqqWlYIBGgbDohroks9Onw6fDroU%2BirpT8GbvdraRYPi9%2Fs&lang=en,https://senate.texas.gov/members/d18/img/LWK_2020.jpg,https://senate.texas.gov/member.php?d=18,"Senator Lois W. Kolkhorst is a sixth-generation Texan, with ancestral roots dating back to the Texas War of Independence. Married to her high school sweetheart Jim, she is a dedicated mother and small business owner. Born and raised in Senate District 18, she attended public schools before graduating from Texas Christian University, where she was an Academic All-American four-year letter winner on the Lady Frog golf team. Growing up in the small town of Brenham, Kolkhorst was taught strong family values and the importance of hard work at an early age. Her father served in the Navy during World War II and afterward became a dentist and raised cattle. One of her favorite childhood memories is of her time working cattle and hunting on the family farm, which is still owned by her family today. Senator Kolkhorst’s professional career began in athletic administration at TCU, before she and her husband relocated to their hometown of Brenham to start a number of small businesses. She also served as the President and CEO of the Washington County Chamber of Commerce and the Brenham Economic Development Foundation before being elected to the Texas House of Representatives in 2001. In 2014, after seven successful terms in the Texas House, she was elected to the Texas Senate in a special election, becoming only the 17th female to serve in the Texas Senate since 1845. Encompassing nearly one million constituents, Senate District 18 spans all or parts of 18 counties and includes a portion of the Texas coastline. As Chair of the Senate Committee on Health and Human Services, Senator Kolkhorst sets public health policies and oversees physicians and licensed health professionals. Senator Kolkhorst led the State of Texas through the COVID-19 pandemic and created new initiatives that improve women's health and maternal mortality rates. She has worked with hospitals to see that they provide better care for high-risk pregnant women and newborns and created an innovative funding method for newborn screenings in Texas. In 2022, the Senator was also appointed to Chair the Special Committee on Child Protective Services to work closely with advocates to protect abused children and reform our foster care system. Additional committees Senator Kolkhorst serves on in the Texas Senate include the Senate Committees on Finance; Business & Commerce; Natural Resources and Economic Development; Water, Agriculture and Rural Affairs; the State Water Implementation Fund for Texas Advisory Committee; the Texas Infrastructure Resiliency Fund Advisory Committee; the Texas Windstorm Advisory Board and most recently, the Legislative Budget Board. Senator Kolkhorst is known for achieving significant public policy changes that impact the lives of every Texan, such as lowering the price cap for insulin, increasing homestead property tax exemptions, and enacting constitutional protections for patient visitation rights during a pandemic. Known by her colleagues for being a hard worker, Kolkhorst has also passed legislation that impacts every code of Texas law, ranging from increased government transparency to fighting human trafficking. A longtime voice for private property rights, Senator Kolkhorst has worked with landowner groups to stop eminent domain abuse. To protect and increase funding for our state parks and historic sites, she authored Proposition 5 in 2019, which passed statewide with overwhelming support. She has also led efforts to enhance Texas roads, ports and trade corridors delivering millions of dollars in funding for the state highways across her district. As a supporter of the education community, her efforts over the years have earned her both the “Legislator of the Year” by the Texas Association of College Teachers and the “Friend of Education” award from Sam Houston State University College of Education. Recently she championed school finance reforms that resulted in over $11 billion in new student funding, teacher pay raises, and local property tax rate reductions. She also backs efforts to support the Teacher Retirement System. A recipient of the Legislator of the Year Award from the Sheriffs Association of Texas, Senator Kolkhorst is a vocal supporter for peace officers and first responders. Along with helping to secure over $6 billion for border security, Senator Kolkhorst has worked with local law enforcement to shut down criminal smuggling networks and develop sensible solutions to the mental health crisis that crowds our jails. She has received accolades for her work from the Texas & Southwestern Cattle Raisers, Texas Farm Bureau, Texas Wildlife Association, the NRA, CASA, the Texas Medical Association, the Texas Hospital Association, the Texas Nurses Association, and the Texas DPS Officer Association, among many others. Senator Kolkhorst and her husband are blessed with two children, Lois Kate and Jake. A frequent volunteer at her church, Senator Kolkhorst also enjoys hobbies such as hunting, fishing and gardening.","The Honorable Lois Kolkhorst, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0118,"2000 S. Market St. #208, Brenham, TX 77833",(979) 251-7888,"22310 Grand Corner Dr., Suite 120, Katy, TX 77494",(281) 394-5610,"311 E Constitution St., Suite 120, Victoria, TX 77901",(361) 573-7300,"18230 FM 1488, Suite 314, Magnolia, TX 77354",(281) 259-8513,,,,
19,Roland Gutierrez,https://senate.texas.gov/memberform.php?auth=rSLa0GSkXCxCN4cHSNh8qzJzk23boyUOGgTTKsj10P06XzpfOr8o2A952tTImyDKd3ekjnBB%2FtzlnKTi27W7McoB6ThEEFYIOnw6fDruzep2%2FGJL6lHF8BOs2DWt&lang=en,https://senate.texas.gov/members/d19/img/Gutierrez_87-0522D-016-Web.jpg,https://senate.texas.gov/member.php?d=19,"Senator Gutierrez, his wife Sarah, and their daughters Izabella and Victoria live in the Mission San Jose neighborhood. They are members of the Mission San Jose Parish and are active in a variety of community projects. As a state representative, Gutierrez served as Chairman of the Defense and Veterans' Affairs Committee during the 85th legislative session.  In the 85th legislative session, Gutierrez established the National Warrior Resiliency Center in San Antonio focusing on PTSD treatment across the state. He also successfully passed measures protecting our Texas military bases from closure during the 2017 special session. In 86th legislative session, Senator Gutierrez fought for state funding of the San Antonio State Hospital; as a result of his tireless work, San Antonio will be building a new state hospital. During his tenure on the San Antonio City Council, Senator Gutierrez was instrumental in establishing Texas A&M University at San Antonio and securing federal resources to fund the San Antonio River project without increasing the tax burden on middle-class families and small businesses. Senator Gutierrez’ efforts led to the construction of the first library on the south side of San Antonio in more than 30 years, Mission Branch Library. Born and raised in San Antonio, Texas, Senator Gutierrez is a 1989 graduate of Central Catholic High School. He earned his BA in Political Science from the University of Texas at San Antonio in 1995 and his law degree from St. Mary's University School of Law in 1998. He is the Founder and President of the Gutierrez Law Firm, specializing in immigration law.","The Honorable Roland Gutierrez, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0119,"1313 SE Military Dr., Suite 207, San Antonio, TX 78214",(210) 532-2302,"2401 Garner Field Rd, Building Q2, Uvalde, TX 78801",(830) 278-1234,,,,,,,,
20,"Juan ""Chuy"" Hinojosa",https://senate.texas.gov/memberform.php?auth=D%2BlgHC8yd%2F43%2BYG%2Fr85lanOiprNlg%2BVUfO%2FNLzpG5cg6XzpfOtwFAwYyt2L5GzqL7lmKp0cHh5TksgfPCmG7wPkQXxrh5A8xOnw6fDra4hGZBjZghhekPVCbIkxh&lang=en,https://senate.texas.gov/members/d20/img/Hinojosa_84-0784D-006.jpg,https://senate.texas.gov/member.php?d=20,"State Senator Juan ""Chuy"" Hinojosa proudly represents the people of District 20.  Born in McAllen, Texas, Hinojosa is the eldest of eight children. He attended Mission Independent School District schools as a child, and worked as a farm worker during his teen years. Hinojosa led the Mission Eagles football team as their quarterback, and after graduation he volunteered to serve in the U.S. Marine Corps. Hinojosa served his country with distinction in Vietnam before returning home to continue his education. He earned a bachelor's degree in political science from the University of Texas-Pan American, where he graduated with honors, and a law degree from Georgetown University in Washington, D.C. After returning to South Texas, Hinojosa served as staff attorney for the Legal Aid Society of Nueces County and later as an Assistant Attorney General for the Texas Attorney General. Since 1980, Hinojosa has operated a private practice in Hidalgo County representing clients in both civil and criminal matters. Hinojosa served in the Texas House of Representatives from 1981 until 1991 and again from 1997 to 2003. During his tenure in the Texas House, Hinojosa passed landmark legislation, such as the establishment of the Regional Academic Health Center (RAHC) which promotes physician training on the Texas/Mexico Border. As the Chairman of Criminal Jurisprudence, Senator Hinojosa sponsored the Texas Fair Defense Act, reforming procedures for providing court-appointed defense counsel to indigent defendants, and carried DNA legislation that has resulted in freeing many wrongly convicted citizens. Since his election to the Texas Senate in 2003, Senator Hinojosa has secured nearly $1 billion for the Corpus Christi Harbor Bridge Replacement project and $300 million for the Pharr Interchange Project to address traffic congestion. This funding is in addition to the active $200 million in construction and maintenance projects currently being administered by the Texas Department of Transportation’s Pharr District, including the funding secured to demolish and re-construct the Bicentennial Boulevard overpass in McAllen. During the 2013 Legislative Session, Hinojosa authored SB 24, historic legislation that created the University of Texas Rio Grande Valley (UTRGV) and UTRGV School of Medicine by merging UT-Pan American and UT-Brownsville. The School of Medicine is already providing greater access to healthcare and is boosting the South Texas economy. The educational and healthcare opportunities are endless and will serve the unique and critical needs of South Texas for decades to come. Senator Hinojosa has also passed legislation to allow South Texas communities and hospitals to draw down millions of federal matching funds to expand and invest in their healthcare infrastructure and to reimburse hospitals for indigent care through a federal 1115 Healthcare Transformation Waiver. Senator Hinojosa has received the prestigious honor of being named a ""Top Ten Best Legislator"" by Texas Monthly magazine three times. He has also been named a  ""Top Ten Legislator"" by Capitol Inside three times as well.","P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0120,"1508 S. Lone Star Way, Suite 6A, Edinburg, TX 78539",(956) 318-0725,"602 N. Staples Street, Suite 200, Corpus Christi, TX 78401",(361) 882-0900,,,,,,,,
21,Judith Zaffirini,https://senate.texas.gov/memberform.php?auth=J786Lxn1q15zGsToexQP7tX4Kh8BFYMO5j5R9EI2Nv46XzpfOm3DVlp%2Bz84xbZ8IOfV9EGpefNQrPA42XgHIgoDQg2rHIMjuOnw6fDogUgpYpzyQnT43eRhp6CSR&lang=en,https://senate.texas.gov/members/d21/img/Zaffirini_2017.jpg,https://senate.texas.gov/member.php?d=21,"Senator Judith Zaffirini, the first Mexican American woman elected to the Texas Senate, became the first woman Dean of the Senate on Dec. 31, 2023. She succeeds 24 men who held the title since 1909, when it was first assigned to the longest-serving senator. One of only 24 women who have served with 952 male senators in 88 Texas Legislatures, in 1986 she and Eddie Bernice Johnson became the 7th and 8th women state senators in Texas. They joined Cyndi Krier in 1987, marking the first time more than one woman served in the 31-member body. Dean Zaffirini’s legendary work ethic is reflected in her having cast 72,132 consecutive votes since 1987 and passing 1,388 bills, making her the highest bill-passer in the history of the State of Texas. Showing her bipartisan effectiveness, in the 2023 Republican-dominated Texas Legislature she passed 122 bills, making her the highest bill-passing legislator for five consecutive sessions. Senator Zaffirini is Vice Chair of the Senate Committee on Natural Resources and Economic Development and a member of the Senate Committees on Business and Commerce, Finance, State Affairs, and Redistricting; and the Texas Judicial Council and Texas Access to Justice Commission. An award-winning Communication Specialist and former educator who supported herself since she was 17 and married her high school sweetheart at 18, she holds B.S., M.A., and PhD degrees from The University of Texas at Austin, which has named her a Distinguished Alumna (2003) and Outstanding Alumna of the Moody College of Communication (2016), awarded her the Presidential Citation (2013), and inducted her into the UT Daily Texan’s Hall of Fame (2016). The senator is the namesake of the courthouse in Webb County, a student success center and medal for leadership and scholarship at Texas A&M International University, a library at Laredo College, an elementary school at United ISD, a park in Laredo, and a road at Lake Casa Blanca International State Park. She is featured in 25 books and referenced in 22. Senator Zaffirini has received more than 1,200 awards and honors for her legislative, public service, and professional work, including more than 600 state and national awards in communication. Numerous organizations have honored her, particularly as a champion of education and health and human services and of persons with intellectual, emotional, physical and learning disabilities; enhancing access to justice while fighting corruption and cronyism in the judiciary; protecting the environment; and improving transparency and access to public information. Interestingly, the Sisters of Mercy named her an Honorary Nun, Sister Judith, and Washington’s Birthday Association named her Mr. South Texas. Her son, Carlos Jr., honored her as the namesake of three endowed scholarships, two grant programs for teachers’ college student loan debts and for good works, a patient suite at the UT Dell Seton Medical Center, and a soccer mini-pitch in Laredo. He also established the Carlos Sr. and Senator Judith Zaffirini Access to Justice Initiative at the UT Law School. Relatedly, the Beaumont Foundation endowed a scholarship honoring the Zaffirinis at A&M International. Re-elected in an 11th landslide victory in 2022, Senator Zaffirini represents 16 counties in Senate District 21, which stretches from Laredo, her hometown on the Texas-Mexico border; to Starr County in the Valley; Dimmit County in the Winter Garden; and Travis and Hays counties in Central Texas. Dr. Zaffirini is the owner of Zaffirini Communications and president of the Mr. South Texas Foundation and of the D&J Alexander Foundation and its two entities, D&J Alexander Investments and D&J Alexander Development. Married for 59 years, Carlos and Judith have one son, Carlos Jr., an attorney, businessman and philanthropist; a daughter-by-marriage, Audrey; and two grandsons, Asher (6) and George (4).","P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0121,"1407 Washington Street, Laredo, TX 78040",(956) 722-2293,,,,,,,,,,
