District Number,Full Name,Contact Page URL,Photo URL,Member Page URL,Biography,Capitol Office Address,Capitol Office Phone Number,District Office Address 1,District Office Phone Number 1,District Office Address 2,District Office Phone Number 2,District Office Address 3,District Office Phone Number 3,District Office Address 4,District Office Phone Number 4,District Office Address 5,District Office Phone Number 5,District Office Address 6,District Office Phone Number 6
22,Brian Birdwell,https://senate.texas.gov/memberform.php?auth=McomJNPeWcY61iae8LUih9pjqu8weO3mxkgBCaZggog6XzpfOm1Hh%2FTlzqGwPWYSOgfqM9D6%2FC61gGk1ks5qH%2BgJ7Z0dAhGpOnw6fDrg9f6P0yBNp9eZmLHXn0M4&lang=en,https://senate.texas.gov/members/d22/img/headshot.jpg,https://senate.texas.gov/member.php?d=22,"Lt. Col. (Ret.) Brian Birdwell is a native Texan, decorated military veteran and lifelong conservative Republican proudly representing Texas Senate District 22. Born in Fort Worth, Brian is a graduate of Lamar University in Beaumont, U.S. Army Command and General Staff College, and the University of Missouri-Kansas City, where he earned a Master of Public Administration degree. As the Distinguished Military Graduate of the Lamar Army ROTC program in 1984, Brian was commissioned as an officer in the U.S. Army and served a 20-year career with numerous training deployments and two operational deployments. In 1990, he deployed to Operation Desert Shield/Desert Storm, where he was awarded the Bronze Star for Exceptional Meritorious Achievement. In 1998, he deployed to Central America as the Joint Operations Officer for Joint Task Force Aguila to execute humanitarian relief operations in the aftermath of Hurricane Mitch. In 2001, Brian was serving on the Department of the Army staff at the Pentagon as the military aide to the Deputy Assistant Chief of Staff for Installation Management. On September 11, 2001, when American Airlines Flight 77 was crashed just yards away from his second floor Pentagon office, Brian was critically wounded and severely burned. Of the burns that covered more than 60 percent of his body, nearly half were third degree in severity. Today, following 39 operations, months of hospitalization and numerous skin grafts, Brian has made a miraculous recovery. Despite physical limitations, he testifies not only to his physical healing, but the ultimate miracle of grace through Christ. He was awarded the Purple Heart for wounds received that day. Upon retirement in July 2004, he was awarded the Legion of Merit. From 2004 to 2017, Brian and his wife, Mel, operated Face the Fire Ministries, a non-profit organization they jointly founded to support critical-burn survivors and wounded service-members and their families. In 2004, the Birdwells jointly authored Refined by Fire: A Family's Triumph of Love and Faith , which chronicles their life-changing ordeal. Through the years, Brian has been profiled in numerous national and regional media outlets. Brian was first elected to the Texas State Senate in a June 2010 special election, and has since been re-elected by his constituents five times, averaging more than 85 percent of votes cast. In his seven legislative sessions Brian has consistently received critical acclaim and top ratings from numerous pro-life, pro-business and conservative organizations, including National Federation of Independent Business, Texans for Fiscal Responsibility, Texas Eagle Forum, Texas State Rifle Association/National Rifle Association, Young Conservatives of Texas, Texas Alliance for Life, Texas Right to Life, Americans for Prosperity, Concerned Women for America, Texas Heritage Alliance and Texas Conservative Coalition, among others. Brian is proud of his diverse and impactful legislative accomplishments, including filing and passing legislation broadening access to higher education, strengthening eminent domain laws protecting landowners, expanding self-defense rights of law-abiding gun owners, strengthening legislative oversight of state river authorities, increasing technical- and associate-degree options for high school graduates and adult students, serving Texas veterans and their family members, and authoring the strongest border security package in Texas history—the Stronger Border, Safer Texas Act. In 2017, Brian led the successful effort to make Texas just the eleventh state in the nation to pass a resolution and corresponding legislation calling for an Article V convention of states. Brian chaired the Sunset Commission for the 2018 interim and 2019 Regular Session, which made numerous improvements to state agencies. One of the most critical reforms which Brian carried was the Texas Alcoholic Beverage Commission bill, which reformed several antiquated provisions of the Alcoholic Beverage Code, among other significant changes as well as other agencies. Brian serves as Chairman of the Senate Committee on Natural Resources, which is responsible for legislation relevant to our oil and gas industry, air quality, waste, and environmental permitting and quality at the state and local level. This includes oversight of the Texas Railroad Commission and the Texas Commission on Environmental Quality. Senator Birdwell also serves as Chairman of the Senate Committee on Border Security and as a member of the Senate Committees on State Affairs, Water, Agriculture, and Rural Affairs, and Nominations. Since 2013, Brian has served as Chairman of U.S. Senator Ted Cruz's 22-member U.S. Service Academy Nominations Board. In late 2024, Birdwell was inducted into the U.S. Field Artillery Association Hall of Fame. The Birdwells have been married for more than 35 years and reside in Granbury. They have one son, Matt, a 2013 graduate of Texas Tech University, and a daughter-in-law, Ann Marie, who reside in Tarrant County with the Birdwell's two grandchildren.","The Honorable Brian Birdwell, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0122,"900 Austin Avenue, Suite 500, Waco, TX 76701",(254) 772-6225,"1315 Waters Edge Drive, Suite 116, Granbury, TX 76048",(817) 573-9622,"3900 Arlington Highlands Blvd., Suite 265, Arlington, TX 76018",(817) 466-7327,,,,,,
23,Royce West,https://senate.texas.gov/memberform.php?auth=EjgKZBK%2Bqf7dj91mBRYWlzdE2D2LF3f4z6a6eiuhgRA6XzpfOscjkAiUKCeo3xT3VyeIC9Zrni3EP%2B92GPchnU5vl6CaQgfqOnw6fDrBfh5Algb%2BDiS24tsm9w7G&lang=en,https://senate.texas.gov/members/d23/img/West_87-0474D-015-web.jpg,https://senate.texas.gov/member.php?d=23,"Royce West is a lawyer and public servant who was first elected to the Texas Senate in 1992, where he has represented the 23rd Senatorial District. During his tenure, he has been named by Texas Monthly as one of the 25 most powerful people in Texas politics, and he has been selected for the magazine's biennial “Ten Best Legislators in Texas” list twice, as well as receiving mention on the Associated Press' “Movers and Shakers” list and the Texas Insider's ""Best Legislators"" list. Senator West is Vice Chair of the Senate Transportation Committee and is a member of Senate committees: Education K-16, Finance, Local Government, and Redistricting, Special. Senator West’s key initiatives include the creation of college admission opportunities for all students, including the establishment of the University of North Texas at Dallas, Dallas' first state-supported, four-year university, the development of the UNT Dallas College of Law, and authorization for a Pharmacy school. Senator West has also increased financial aid for college students and funding for the TEXAS grants programs. Additionally, he passed legislation that created the Texas Juvenile Crime Prevention Center at Prairie View A&M University, increased funding for at-risk youth programs, awarded greater compensation to victims of violent crime, established new standards for child care, enhanced enforcement of protective orders, and made better use of criminal justice resources through legislation that created a system of progressive sanctions. Senator West is a champion for public education, including new programs that provide curriculum choices for public schools. He has promoted school and student accountability efforts, opposed A-F implementation, and fights tirelessly for more funding and educational resources for Texas school children. As one of the original authors of the Top 10% Rule that provides automatic admission to state universities for Texas high school students who graduate at the top of their classes, Senator West has continued his advocacy for the program and has successfully led efforts to oppose those who would abolish it. He also passed legislation that will allow credits earned at community colleges to be readily accepted by four-year universities. To promote inclusiveness in the procurement practices of state agencies in working with Historically Underutilized Businesses (HUBs), Senator West created the “Doing Business Texas Style - Spot Bid Contract Fair” and regularly sponsors procurement workshops and seminars. He also instituted the D23 Goes 2 Work Job Fair in 2015, which connects employers with those seeking work. In addition to his senatorial duties, Senator West is the managing partner in the law firm of West & Associates, L.L.P. He has been a member of the State Bar of Texas since 1979. Overall, Royce West is a dedicated public servant who has used his legal skills to effect positive change in his community. In his role as a State Senator, Royce West has used his legal skills to effect change for all Texans, by passage of impactful criminal justice, education, healthcare, economic development, and land use bills and other legislation. Royce, against stiff legislative opposition, passed Texas’ first racial profiling bill. West added transparency to police interactions with citizens through the passage of the first body camera law in Texas. His relentless determination in finding solutions to advert deadly consequences between law enforcement and citizens inspired him to pass the Community Safety Education Act (SB30). The law better defines behavioral expectations between police and citizens during their interactions, especially during traffic stops. The law was placed in the state’s driver license manual and police academies, making it mandatory study and test material. In 1993, he created the Dr. Emmett J. Conrad Leadership Program to provide the college students in Senatorial District 23 the opportunity to secure and actively participate in internships that will provide them with viable employment experience in their majors or fields of interest. He is also a caring father to his children, a grandfather and devoted husband to Carol R. West, CPA, as well as an active member of Concord Church Dallas. Governor for a Day Celebration November 18, 2006","P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0123,"5787 S. Hampton Rd., Suite 385, Dallas, TX 75232",(214) 467-0123,,,,,,,,,,
24,Pete Flores,https://senate.texas.gov/memberform.php?auth=%2FpeanwwZEsfi%2B4gCSR3aYunBBbUA2RWk9sntBtHhPI06XzpfOitFNN%2FWR7%2BuA%2F83hwUw2X42yhFwwP%2F2i37Dm7zA74w1k8MhOnw6fDr2y5hCrcHox%2FwZ3MvQJeVe&lang=en,https://senate.texas.gov/members/d24/img/Flores_86-0634D-001-web.jpg,https://senate.texas.gov/member.php?d=24,"Senator Pete Flores was born in Minot, North Dakota and was raised in South Texas, graduating from Laredo Martin High School and then attending Laredo Junior College before transferring and graduating from Texas A&M University. Senator Flores spent most of his career as a Texas Game Warden, serving the state for 27 years and achieving the rank of Colonel. In this capacity Senator Flores was responsible for a 60 million dollar budget, 27 field offices, 127 civilian employees, and 532 Commissioned Texas Game Wardens with a statewide operational scope and patrol out to 9 nautical miles into the Gulf of Mexico. Senator Flores was the first Hispanic Texas Game Warden Colonel in history. Senator Flores honorably retired from state service in 2012. In previous service, Senator Flores was appointed by Governor Perry to serve on the State Employee Charitable Campaign Committee, and was appointed by Governor Greg Abbott to serve as a commissioner on the Education Commission of the United States. He holds a Texas Master Peace Officer certificate, is a graduate of the Governors Executive Development School from the LBJ School of Government at UT, and is a Fellow of the National Conservation Leadership Institute. Senator Flores was first elected in a special election in 2018, becoming the first Hispanic Republican in the Texas Senate, and again elected in 2022 to serve Senate District 24.  During the 88th Regular Legislative Session, he served as the Vice Chair for the Senate committees on Border Security and Criminal Justice.   Senator Flores was named Chairman of the Senate Committee on Criminal Justice in January of 2024.  He is also a member of the Finance, Education, and Water, Agriculture, and Rural Affairs committees. In March of 2024, Senator Flores co-founded, along with several House members,  the Texas Hispanic Republican Caucus, with the goal to amplify the voices and priorities of conservative Hispanics from across the state. He lives in Pleasanton with his wife, Elizabeth, and has two daughters and two grandsons.","The Honorable Pete Flores, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0124,"500 W. Young, Suite D, Llano, Texas 78643",(325) 247-1080,"2180 North Main Street, H1 & H2, Belton, TX 76513",(254) 939-3854,"Schreiner One Center, 819 Water St., Suite 164, Kerrville, TX 78028",(830) 896-9816,,,,,,
25,Donna Campbell,https://senate.texas.gov/memberform.php?auth=0ZrefmWO6eqvk5zO5W4CcSJkQ3K9yiRNqJ9kN94mJfA6XzpfOm2L6aA11gzaDe2cxRwczPTC4QQZbim1RxQx1tW%2BaCRzzqD5Onw6fDrYj0XRSliTios7%2BqRmR8u2&lang=en,https://senate.texas.gov/members/d25/img/headshot.jpg,https://senate.texas.gov/member.php?d=25,"Senator Donna Campbell, M.D. is a board certified emergency room physician and proud parent of four daughters. In 2012, she became just the fifteenth woman ever elected to serve in the Texas Senate. She lives in the New Braunfels area and represents Senate District 25, a seven county, Texas Hill Country district which includes portions of San Antonio and Austin. Senator Campbell was born on a naval base and grew up with a great respect for the military and law enforcement. Her father served in the U.S. Navy and later as a trooper in the highway patrol. Her mother worked in factories most of her life until studying to become a nurse at the age of 48. Senator Campbell completed her Masters of Nursing from Texas Woman's University and received her M.D. from Texas Tech University, where she was a member of Alpha Omega Alpha, the honor society for medical schools. She completed her residency at the University of Texas Health Science Center in Houston and was awarded the prestigious Morton Award as an outstanding resident in ophthalmology. As a proud woman of faith, Senator Campbell has volunteered with Christian Eye Ministries and performed hundreds of eye surgeries in the West African nation of Ghana. Senator Campbell has received top honors for her legislative accomplishments from the National Rifle Association, Texas Alliance for Life, Texas Values, and the Texas Veterans Commission. She has been recognized as a Top Courageous Conservative three times in a row by the Texas Conservative Coalition and designated as a Fighter for Free Enterprise by the Texas Association of Business. During the 88th Legislative Session, Senator Campbell was appointed by the Lieutenant Governor to serve as chairwoman of the Senate Committee on Nominations and vice-chair of Senate Committee on Education. Additionally, she is a member of the Business & Commerce and Finance committees. Prior to the 88th Legislative Session in 2023, Senator Campbell served as chairwoman for Veteran Affairs from 2015-2021. In her spare time, Senator Campbell enjoys spending time with her family and is an avid runner and hiker.","The Honorable Donna Campbell, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0125,"229 Hunters Village, Ste. 105, New Braunfels, TX 78132",(830) 626-0065,,,,,,,,,,
26,José Menéndez,https://senate.texas.gov/memberform.php?auth=wWfziN%2FJNPysA5pftH7uoke71EloMc0A29wKYWUU4K46XzpfOlS%2FzucoXBRI0tXZv9yv3sahNYxwswOkeslODGlHjpf9GVlpOnw6fDq5c39nMVucTpHYsr4ugVvP&lang=en,https://senate.texas.gov/members/d26/img/headshot.jpg,https://senate.texas.gov/member.php?d=26,"State Senator José Menéndez is Texas State Senator serving District 26 since 2015. The son of immigrants, José Menéndez grew up working at his family’s small business located in San Antonio's West Side. During his term in office, Menéndez passed over 200 bills that benefited children, seniors, veterans, and San Antonio families. One of the bills, David's Law , empowers students, parents, schools, and law enforcement to combat and prevent cyberbullying. Senator Menéndez is also a strong advocate for job growth, community and business development. Along with his successful legislation, Senator Menéndez has secured millions of dollars for advancements in education, healthcare, parks, and additional funding developments, including $17 million for the Alamo Colleges. Senator Menéndez began his public service career in 1997 when he was elected to the San Antonio City Council District 6 office, representing the city’s West Side. He was then elected to serve as State Representative for House District 124 in 2000. He was later entrusted with an appointment to the powerful Appropriations Committee where he secured millions of dollars for various crucial San Antonio initiatives. In his final session serving in the House, Menéndez was appointed Chairman of the House Committee on Defense and Veterans’ Affairs where he secured one of the state’s largest mental health programs for Veterans. Senator Menéndez has distinguished himself as a commonsense problem solver, able to work with colleagues on all sides to serve the needs of Texas families. He has continued to remain committed to improving the state’s public education system, utilities and energy infrastructure, as well as housing and economic development. Senator Menéndez received the esteemed ' Texas Municipal League Legislator of the Year Award ' in 2017 which honors his outstanding efforts to empower Texans to make decisions affecting their local communities. Among his many distinguished honors, Menéndez is also the proud recipient of the Nation's Mothers Against Drunk Driving (MADD) ' 2017 Legislator of the Year ' award; ' Leaders in Improving Mental Health Care ' from the Center for Health Care Services; Texas Parent Teacher Association's (PTA) ' Legislative Honor Roll '; and ' Senator of the Year ' from the Combined Law Enforcement Association of Texas (CLEAT). Senator Menéndez graduated from Central Catholic High School before earning degrees in Business Administration and Latin American Studies at Southern Methodist University. He has been married to his best friend Cehlia Newman-Menéndez since 1995. They have three children, Dominic, Victoria, and Austin. As a father, husband and lifelong Texan, Senator Menéndez is extremely grateful to be able to serve the people of District 26 and the state of Texas.","The Honorable José Menéndez, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0126,"4522 Fredericksburg Road, A-22, San Antonio, TX 78201",(210) 733-6604,,,,,,,,,,
27,Adam Hinojosa,https://senate.texas.gov/memberform.php?auth=WEWoWwM80x4IExxSZk1Cx%2FYlEE4cV8Xml%2FFJPt4%2BkDo6XzpfOgbfYFab4tDmwcRbdADLHr%2BDEykb1IvB%2BwCOMmDYO5LYi6fUOnw6fDoNJiN%2F%2F14MraujMfHTZTJE&lang=en,https://senate.texas.gov/members/d27/img/Hinojosa_Adam-88-0913D-005-web.jpg,https://senate.texas.gov/member.php?d=27,"Adam Hinojosa was elected to the Texas State Senate in 2024, becoming the first Republican to represent District 27 since Reconstruction. A fourth-generation Texan who can trace his roots back to 1874, Hinojosa represents a district that spans the southern Gulf Coast and includes significant economic assets such as SpaceX, the Ports of Brownsville and Corpus Christi, extensive oil and gas infrastructure, and historic, expansive farming and agricultural operations. In addition to his public service, Hinojosa is a small business owner, managing multiple ventures in the Corpus Christi area alongside his brothers including a fine jewelry retail store, multiple restaurants, and commercial real estate. His hands-on experience in business equips him with a practical understanding of the economic challenges and opportunities facing Texans. As a police academy graduate and entrepreneur, Hinojosa is dedicated to fostering economic growth, expanding opportunities, and supporting public safety for the people of his district and across Texas. His leadership reflects a commitment to leveraging the region’s potential to benefit families and businesses alike. Senator Hinojosa currently resides in Corpus Christi with his wife, Victoria, and their four children: Jaidyn, Dylan, Hudson, and Greyson.","The Honorable Adam Hinojosa, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0127,"Webb Martinez Building, 1324 E. Madison, Brownsville, TX 78520",(956) 542-2211,"1211 US Highway 181, Portland, TX 78102",(361) 643-0026,"700 FM 3168, Raymondville, TX 78580",(956) 447-1094,"255 S. Kansas Ave, Weslaco, TX 78596",(956) 447-1094,,,,
28,Charles Perry,https://senate.texas.gov/memberform.php?auth=PVoIkmCrwXYZBgEJ%2BUkqcf9c9KpPOfPRmQ9XIeFNPYQ6XzpfOmfXZ7X6vAabNuginfWf4pFvaHhdv7iUzLACHbDjA3ATw9ogOnw6fDpkfpM5GXsaJBVVRG47jFHt&lang=en,https://senate.texas.gov/members/d28/img/Perry-Headshot-2019.jpg,https://senate.texas.gov/member.php?d=28,"State Senator Charles Perry is a life-long West Texan and a practicing CPA from Lubbock. He was elected to the Texas Senate in 2014 after serving two terms in the Texas House of Representatives. Sen. Perry currently chairs the Senate Committee on Water, Agriculture, and Rural Affairs and is Vice-Chair of the Senate Health and Human Services Committee. He also sits on the Senate Committees for Finance, State Affairs, and Transportation, and he co-chairs the State Water Implementation Fund for Texas (SWIFT) Advisory Committee and the Texas Infrastructure Resiliency Fund (TIRF). Governor Abbott appointed him to the Southwestern States Water Commission and the Western States Water Council. Outside his work in the Legislature, Sen. Perry has served his community as past president of the Lubbock Boys and Girls Club, American Business Clubs, and Community Partners, and previously served on the board of the National Council on Family Violence and the Women's Protective Services of Lubbock. He also serves as a deacon at his church, Southcrest Baptist in Lubbock. Sen. Perry grew up in the district he currently represents, graduating from Sweetwater High School. He earned his Bachelor of Business Administration in accounting and management information systems from Texas Tech University. Sen. Perry has been married to his wife, Jacklyn, for over 40 years and together they have a daughter, Jordan, and a son, Matthew, and five grandchildren. The entire family are graduates of Texas Tech University.","The Honorable Charles Perry, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0128,"11003 Quaker Avenue, #101, Lubbock, TX 79424",(806) 783-9934,"36 West Beauregard Avenue #510, San Angelo, TX 76903",(325) 481-0028,"203 Commerce Street NW, Childress, TX 79201",(940) 937-0909,,,,,,
29,César Blanco,https://senate.texas.gov/memberform.php?auth=%2BOQcFd%2FVt5W2OT1wVPje5ZThOEBfMy0OOLHtgVVrtsU6XzpfOr34VX5bYz3weNB%2ByLF2AvZP0eHP9X31HjOO%2BFskSThRIUosOnw6fDoe5Pk1JPxF2rdqdWQVdaJc&lang=en,https://senate.texas.gov/members/d29/img/SCBBio88th-web.jpg,https://senate.texas.gov/member.php?d=29,"Senator César J. Blanco proudly represents the people of Brewster, Culberson, El Paso, Hudspeth, Jeff Davis, Pecos, Presidio, and Reeves counties in the Texas Senate. César was raised in El Paso, and after high school, he continued his family’s tradition of military service in the U.S. Navy. He graduated from the University of Texas at El Paso and continued his public service by working for three Members of Congress representing El Paso and West Texas. César was first elected to the Texas Senate in 2020. Senator Blanco currently serves on the distinguished Senate Committees on Business & Commerce, Health & Human Services; Natural Resources; and Water, Agriculture, & Rural Affairs. He is also a member of the Sunset Advisory Commission and serves as the Vice-Chairman of the Texas Senate Hispanic Caucus. Prior to being elected to the Texas Senate, César also served in the Texas House of Representatives for 6 years and was named a Best Legislator by Texas Monthly in his freshman session. César has delivered for El Paso and West Texas by leading initiatives to strengthen our workforce, economy, and border communities, improving the quality of life, expanding access to healthcare, and increasing economic opportunities in the region. During the 88th Legislative session, Senator Blanco championed legislation to expand SNAP food assistance for Texas families, increase access to quality healthcare, provide farmers and ranchers financial assistance for property damage, promote environmental protections, and deliver economic relief for working families. For his work in the 88th Legislative Session, Senator Blanco earned several accolades and recognitions, including the Public Education Champion Award from Raise Your Hand Texas, the 2023 Legislative Equity Champion by Dia De La Mujer Latina, the Hunger Leadership Award from Feeding Texas, the Legislator of the Year recognition from Texas Nurse Practitioners (TNP), the Trailblazers Legislative Award from The Family Place, the Distinguished Legislative Service Award from Habitat for Humanity Texas, and the 2023 AARP Texas Legislative Champion Award from AARP to name a few. Senator Blanco is active in the community as a member of the American Legion, El Paso Metropolitan Planning Organization (MPO), the Rio Grande Council of Governments (RCOG), the Medical Center of Americas (MCA), and Secretary of National Association of Latino Elected and Appointed Officials (NALEO) Educational Fund Board of Directors. César lives in El Paso with his wife Lili, his daughter Amelia, and their dogs Lulu and Skipper (Skip).","The Honorable César Blanco, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0129,"416 N. Stanton Street, Suite 700, El Paso, TX 79901",(915) 577-0029,"1618 Airport Drive, Room 126, Fort Stockton, TX 79735",(432) 336-2910,,,,,,,,
30,Brent Hagenbuch,https://senate.texas.gov/memberform.php?auth=Q5wluVO7ci3moAuY4rFS9M5FJTtbRIi7EXB%2F4WIHikM6XzpfOjXrucWca4NW%2F1Ji%2FyB0lSpseiFWmGvoZlNqd5pkxuQKE3rMOnw6fDqjSikgorK2swJoOW2PDhid&lang=en,https://senate.texas.gov/members/d30/img/Hagenbuch_89-0029-009-web.jpg,https://senate.texas.gov/member.php?d=30,"Brent Hagenbuch is Chairman and Owner of Titus Transport, a leader in transportation services with drivers delivering to 1,500 grocery stores. Hagenbuch also owns the Giddy Up Transport, a  freight logistics firm. Brent’s background includes strategy and general management at McKinsey & Company and PepsiCo’s Frito-Lay division as well CEO of CompX. Hagenbuch earned a BS in Mechanical Engineering from the Naval Academy, a Masters in Civil Engineering from Stanford, and an MBA from UCLA. Hagenbuch served as an officer in the U.S. Navy Civil Engineer Corps during the first Gulf War era as Company Commander in Naval Mobile Construction Battalion 4, Officer in Charge of Construction at Concord Naval Weapons Station and an instructor at the Civil Engineer Officers School. Hagenbuch’s community service includes: Board Director of Feed the Children, Member of UNT’s Logistics Institute Advisory Board, LEISD Visionary Committee member, former Chairman of the Board of Amazon Christian Mission, former President of the North Texas Chapter of K-Life youth ministry and former Little Elm City Planning & Zoning Commissioner. Hagenbuch is married to Jean, his wife of 39 years. They have two children and three grandchildren. The Hagenbuchs are active at Crossridge Church in Little Elm.","The Honorable Brent Hagenbuch, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0130,"2525 Kell Blvd., Suite 303, Wichita Falls, TX 76308",,"100 Austin Ave., Suite 103, Weatherford, TX 76086",,"2800 Shoreline Dr., Suite 350, Denton, TX 76210",,,,,,,
31,Kevin Sparks,https://senate.texas.gov/memberform.php?auth=VGNjAVw3xk37vJuN4fJ6TL0zpwuL2EY9ZNTst%2FZS%2BGI6XzpfOn7kx3v9G0dMXo1rfUfpGwuLeP1pYylUBK4D7%2BW9%2FoYOgUzGOnw6fDppf4jEKUXCiOoxPBZ2jsLx&lang=en,https://senate.texas.gov/members/d31/img/Sparks_88-0063D-012-web.jpg,https://senate.texas.gov/member.php?d=31,"Kevin is a conservative businessman and community leader in Midland, Texas, with deep west Texas roots.  Kevin was elected to the state senate in 2023 and received a 4 year term.  He enjoyed a productive and successful first session in the 88th legislative session.  His legislative priorities reflect the values and concerns for people that live in west Texas, with those being energy reliability, water access, healthcare and stopping oilfield theft. Growing up in Midland, Kevin earned his Eagle Scout award at 14 years old and later graduated from Midland Lee High School in 1982. Kevin received a Bachelor of Business Administration from the University of Texas at Austin in 1985 and then returned home to Midland, where he began his nearly 40-year career in the oil and gas industry. Working for Discovery Operating, Kevin learned the family business first as a pumper and roustabout, and currently serves as the company's Chief Executive Officer. Kevin and his wife, Jill, raised their four children in Midland and are enjoying their growing family, now with two grandchildren and one on the way. For over 30 years, the Sparks have served their community as Young Life and church leaders. Kevin and Jill are active Stonegate Fellowship members, where Kevin has served as an elder. The Sparks lead small-groups and mentor young couples bringing-up their own families.  In his spare time Kevin enjoys hunting, fly fishing and spending time with his family.","The Honorable Kevin Sparks, P.O. Box 12068, Capitol Station, Austin, TX 78711",(512) 463-0131,"Historic Federal Building, 620 S. Taylor Street, Suite 203, Amarillo, TX 79101",(806) 374-8994,"ClayDesta Center, 6 Desta Drive, Suite 1325, Midland, TX 79705",(432) 685-6031,"P.O. Box 2463, Big Spring, Texas 79721",(432) 994-2377,,,,,,