District Number,Biography URL
1,https://house.texas.gov/members/2890/biography
2,https://house.texas.gov/members/4670/biography
3,https://house.texas.gov/members/2335/biography
4,https://house.texas.gov/members/3695/biography
5,https://house.texas.gov/members/3505/biography
6,https://house.texas.gov/members/4400/biography
7,https://house.texas.gov/members/3515/biography
8,https://house.texas.gov/members/3580/biography
9,https://house.texas.gov/members/2330/biography
10,https://house.texas.gov/members/4085/biography
11,https://house.texas.gov/members/4755/biography
12,https://house.texas.gov/members/4795/biography
13,https://house.texas.gov/members/4340/biography
14,https://house.texas.gov/members/4475/biography
15,https://house.texas.gov/members/2825/biography
16,https://house.texas.gov/members/2900/biography
17,https://house.texas.gov/members/4195/biography
18,https://house.texas.gov/members/4535/biography
19,https://house.texas.gov/members/4385/biography
20,https://house.texas.gov/members/3525/biography
21,https://house.texas.gov/members/2905/biography
22,https://house.texas.gov/members/4255/biography
23,https://house.texas.gov/members/4290/biography
24,https://house.texas.gov/members/2875/biography
25,https://house.texas.gov/members/4065/biography
26,https://house.texas.gov/members/4675/biography
27,https://house.texas.gov/members/2040/biography
28,https://house.texas.gov/members/3920/biography
29,https://house.texas.gov/members/4405/biography
30,https://house.texas.gov/members/4620/biography
31,https://house.texas.gov/members/3045/biography
32,https://house.texas.gov/members/3365/biography
33,https://house.texas.gov/members/4715/biography
34,https://house.texas.gov/members/4770/biography
35,https://house.texas.gov/members/2485/biography
36,https://house.texas.gov/members/2060/biography
37,https://house.texas.gov/members/4295/biography
38,https://house.texas.gov/members/4095/biography
39,https://house.texas.gov/members/3780/biography
40,https://house.texas.gov/members/2340/biography
41,https://house.texas.gov/members/2415/biography
42,https://house.texas.gov/members/4215/biography
43,https://house.texas.gov/members/2065/biography
44,https://house.texas.gov/members/4745/biography
45,https://house.texas.gov/members/3710/biography
46,https://house.texas.gov/members/3625/biography
47,https://house.texas.gov/members/3820/biography
48,https://house.texas.gov/members/3310/biography
49,https://house.texas.gov/members/3210/biography
50,https://house.texas.gov/members/3685/biography
51,https://house.texas.gov/members/4150/biography
52,https://house.texas.gov/members/4205/biography
53,https://house.texas.gov/members/member-page/biography/?district=53
54,https://house.texas.gov/members/3585/biography
55,https://house.texas.gov/members/4520/biography
56,https://house.texas.gov/members/4415/biography
57,https://house.texas.gov/members/4165/biography
58,https://house.texas.gov/members/4575/biography
59,https://house.texas.gov/members/4055/biography
60,https://house.texas.gov/members/4705/biography
61,https://house.texas.gov/members/4730/biography
62,https://house.texas.gov/members/4645/biography
63,https://house.texas.gov/members/4125/biography
64,https://house.texas.gov/members/4555/biography
65,https://house.texas.gov/members/4615/biography
66,https://house.texas.gov/members/2995/biography
67,https://house.texas.gov/members/2475/biography
68,https://house.texas.gov/members/4075/biography
69,https://house.texas.gov/members/2385/biography
70,https://house.texas.gov/members/4345/biography
71,https://house.texas.gov/members/3225/biography
72,https://house.texas.gov/members/2645/biography
73,https://house.texas.gov/members/4265/biography
74,https://house.texas.gov/members/4000/biography
75,https://house.texas.gov/members/2410/biography
76,https://house.texas.gov/members/4285/biography
77,https://house.texas.gov/members/4710/biography
78,https://house.texas.gov/members/3850/biography
79,https://house.texas.gov/members/4015/biography
80,https://house.texas.gov/members/4655/biography
81,https://house.texas.gov/members/2895/biography
82,https://house.texas.gov/members/2610/biography
83,https://house.texas.gov/members/3055/biography
84,https://house.texas.gov/members/4360/biography
85,https://house.texas.gov/members/4280/biography
86,https://house.texas.gov/members/4530/biography
87,https://house.texas.gov/members/4480/biography
88,https://house.texas.gov/members/2455/biography
89,https://house.texas.gov/members/3740/biography
90,https://house.texas.gov/members/3060/biography
91,https://house.texas.gov/members/4643/biography
92,https://house.texas.gov/members/4115/biography
93,https://house.texas.gov/members/4355/biography
94,https://house.texas.gov/members/3065/biography
95,https://house.texas.gov/members/2360/biography
96,https://house.texas.gov/members/3960/biography
97,https://house.texas.gov/members/4665/biography
98,https://house.texas.gov/members/2345/biography
99,https://house.texas.gov/members/2945/biography
100,https://house.texas.gov/members/4275/biography
101,https://house.texas.gov/members/3895/biography
102,https://house.texas.gov/members/3735/biography
103,https://house.texas.gov/members/2150/biography
104,https://house.texas.gov/members/3335/biography
105,https://house.texas.gov/members/3455/biography
106,https://house.texas.gov/members/3655/biography
107,https://house.texas.gov/members/4485/biography
108,https://house.texas.gov/members/3075/biography
109,https://house.texas.gov/members/4465/biography
110,https://house.texas.gov/members/2555/biography
111,https://house.texas.gov/members/2625/biography
112,https://house.texas.gov/members/2510/biography
113,https://house.texas.gov/members/3565/biography
114,https://house.texas.gov/members/4120/biography
115,https://house.texas.gov/members/4495/biography
116,https://house.texas.gov/members/2835/biography
117,https://house.texas.gov/members/2365/biography
118,https://house.texas.gov/members/3145/biography
119,https://house.texas.gov/members/3950/biography
120,https://house.texas.gov/members/3445/biography
121,https://house.texas.gov/members/4270/biography
122,https://house.texas.gov/members/4145/biography
123,https://house.texas.gov/members/3110/biography
124,https://house.texas.gov/members/4170/biography
125,https://house.texas.gov/members/3915/biography
126,https://house.texas.gov/members/3775/biography
127,https://house.texas.gov/members/4130/biography
128,https://house.texas.gov/members/3265/biography
129,https://house.texas.gov/members/3090/biography
130,https://house.texas.gov/members/3535/biography
131,https://house.texas.gov/members/2100/biography
132,https://house.texas.gov/members/3095/biography
133,https://house.texas.gov/members/4135/biography
134,https://house.texas.gov/members/3985/biography
135,https://house.texas.gov/members/3635/biography
136,https://house.texas.gov/members/3595/biography
137,https://house.texas.gov/members/2865/biography
138,https://house.texas.gov/members/3975/biography
139,https://house.texas.gov/members/4785/biography
140,https://house.texas.gov/members/4930/biography
141,https://house.texas.gov/members/4880/biography
142,https://house.texas.gov/members/2650/biography
143,https://house.texas.gov/members/3155/biography
144,https://house.texas.gov/members/2535/biography
145,https://house.texas.gov/members/3910/biography
146,https://house.texas.gov/members/4765/biography
147,https://house.texas.gov/members/4105/biography
148,https://house.texas.gov/members/4035/biography
149,https://house.texas.gov/members/4900/biography
150,https://house.texas.gov/members/3425/biography